ID;Conf;D1G-P;D1G-R;D1G-F1;D1Y-P;D1Y-R;D1Y-F1;D1R-P;D1R-R;D1R-F1;D1Accuracy;D2G-P;D2G-R;D2G-F1;D2Y-P;D2Y-R;D2Y-F1;D2R-P;D2R-R;D2R-F1;D2Accuracy
1153;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7778;0.6720;0.7210;0.6316;0.7619;0.6906;0.6000;0.4898;0.5393;0.6800;0.7429;0.6667;0.7027;0.5769;0.8108;0.6742;0.0000;0.0000;0.0000;0.6364
1154;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7500;0.8400;0.7925;0.7345;0.6587;0.6946;0.5745;0.5510;0.5625;0.7167;0.7381;0.7949;0.7654;0.5909;0.7027;0.6420;0.0000;0.0000;0.0000;0.6477
1155;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.8017;0.7440;0.7718;0.6552;0.7540;0.7011;0.6154;0.4898;0.5455;0.7067;0.6765;0.5897;0.6301;0.4815;0.7027;0.5714;0.0000;0.0000;0.0000;0.5568
1156;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7023;0.7360;0.7187;0.5906;0.5952;0.5929;0.4762;0.4082;0.4396;0.6233;0.7297;0.6923;0.7105;0.5600;0.7568;0.6437;0.0000;0.0000;0.0000;0.6250
1157;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7830;0.6640;0.7186;0.6408;0.7222;0.6791;0.5385;0.5714;0.5545;0.6733;0.7879;0.6667;0.7222;0.5818;0.8649;0.6957;0.0000;0.0000;0.0000;0.6591
1158;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7244;0.7360;0.7302;0.6136;0.6429;0.6279;0.4634;0.3878;0.4222;0.6400;0.4507;0.8205;0.5818;0.2667;0.1081;0.1538;0.0000;0.0000;0.0000;0.4091
1159;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.8571;0.6720;0.7534;0.6536;0.7937;0.7168;0.5714;0.5714;0.5714;0.7067;0.9600;0.6154;0.7500;0.5873;1.0000;0.7400;0.0000;0.0000;0.0000;0.6932
1160;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6148;0.6640;0.6385;0.5259;0.4841;0.5041;0.4286;0.4286;0.4286;0.5500;0.8235;0.7179;0.7671;0.6111;0.8919;0.7253;0.0000;0.0000;0.0000;0.6932
1161;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7419;0.7360;0.7390;0.6160;0.6111;0.6135;0.4706;0.4898;0.4800;0.6433;0.7429;0.6667;0.7027;0.5769;0.8108;0.6742;0.0000;0.0000;0.0000;0.6364
1162;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7538;0.7840;0.7686;0.6692;0.6905;0.6797;0.6000;0.4898;0.5393;0.6967;0.7750;0.7949;0.7848;0.6087;0.7568;0.6747;0.0000;0.0000;0.0000;0.6705
