ID;Conf;D1G-P;D1G-R;D1G-F1;D1Y-P;D1Y-R;D1Y-F1;D1R-P;D1R-R;D1R-F1;D1Accuracy;D2G-P;D2G-R;D2G-F1;D2Y-P;D2Y-R;D2Y-F1;D2R-P;D2R-R;D2R-F1;D2Accuracy
1176;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7826;0.6835;0.7297;0.6505;0.7204;0.6837;0.2692;0.2692;0.2692;0.6465;0.4583;0.8462;0.5946;0.2000;0.0811;0.1154;0.0000;0.0000;0.0000;0.4091
1177;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7586;0.5570;0.6423;0.6000;0.7419;0.6635;0.2400;0.2308;0.2353;0.6010;0.6458;0.7949;0.7126;0.6486;0.6486;0.6486;0.6667;0.1667;0.2667;0.6477
1178;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7213;0.5570;0.6286;0.6604;0.7527;0.7035;0.2903;0.3462;0.3158;0.6212;0.6596;0.7949;0.7209;0.6389;0.6216;0.6301;0.4000;0.1667;0.2353;0.6364
1179;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.6806;0.6203;0.6490;0.6344;0.6344;0.6344;0.3939;0.5000;0.4407;0.6111;0.8148;0.5641;0.6667;0.5424;0.8649;0.6667;0.5000;0.0833;0.1429;0.6250
1180;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7069;0.5190;0.5985;0.5897;0.7419;0.6571;0.4348;0.3846;0.4082;0.6061;0.9091;0.5128;0.6557;0.5469;0.9459;0.6931;0.0000;0.0000;0.0000;0.6250
1181;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.6452;0.5063;0.5674;0.5789;0.7097;0.6377;0.4091;0.3462;0.3750;0.5808;0.8000;0.6154;0.6957;0.5614;0.8649;0.6809;0.0000;0.0000;0.0000;0.6364
1182;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.6949;0.5190;0.5942;0.6216;0.7419;0.6765;0.4286;0.4615;0.4444;0.6162;0.6774;0.5385;0.6000;0.4000;0.2703;0.3226;0.2188;0.5833;0.3182;0.4318
1183;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7077;0.5823;0.6389;0.6154;0.6882;0.6497;0.4828;0.5385;0.5091;0.6263;0.4595;0.4359;0.4474;0.3333;0.4324;0.3765;0.3333;0.0833;0.1333;0.3864
1184;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7385;0.6076;0.6667;0.6569;0.7204;0.6872;0.2258;0.2692;0.2456;0.6162;0.6667;0.3590;0.4667;0.6250;0.8108;0.7059;0.1053;0.1667;0.1290;0.5227
1185;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7586;0.5570;0.6423;0.6273;0.7419;0.6798;0.2333;0.2692;0.2500;0.6061;0.7105;0.6923;0.7013;0.5918;0.7838;0.6744;1.0000;0.0833;0.1538;0.6477
1186;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7213;0.5570;0.6286;0.6762;0.7634;0.7172;0.3750;0.4615;0.4138;0.6414;0.6522;0.7692;0.7059;0.5897;0.6216;0.6053;0.6667;0.1667;0.2667;0.6250
1187;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.6818;0.5696;0.6207;0.6408;0.7097;0.6735;0.3793;0.4231;0.4000;0.6162;0.6667;0.7692;0.7143;0.5349;0.6216;0.5750;0.0000;0.0000;0.0000;0.6023
1188;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7544;0.5443;0.6324;0.6283;0.7634;0.6893;0.3571;0.3846;0.3704;0.6263;0.3333;0.5128;0.4040;0.4545;0.1351;0.2083;0.0000;0.0000;0.0000;0.2841
1189;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.6364;0.5316;0.5793;0.6214;0.6882;0.6531;0.3103;0.3462;0.3273;0.5808;0.5370;0.7436;0.6237;0.4839;0.4054;0.4412;0.6667;0.1667;0.2667;0.5227
1190;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7069;0.5190;0.5985;0.6168;0.7097;0.6600;0.4242;0.5385;0.4746;0.6111;0.8125;0.6667;0.7324;0.5660;0.8108;0.6667;0.0000;0.0000;0.0000;0.6364
1191;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.6515;0.5443;0.5931;0.6000;0.6774;0.6364;0.4815;0.5000;0.4906;0.6010;1.0000;0.6410;0.7813;0.5873;1.0000;0.7400;0.0000;0.0000;0.0000;0.7045
